InterestShortUK	InterestLongUK
0.7053	1.3221
0.7061	1.239
0.7053	1.19
0.7081	1.1906
0.7094	1.13
0.7085	0.919
0.709	0.8304
0.7101	0.5776
0.7098	0.5981
0.7108	0.6373
0.7105	0.765
0.7101	0.8308
0.7113	0.7235
0.7104	0.633
0.3192	0.4609
0.0659	0.3577
0.0674	0.2743
0.0646	0.278
0.0599	0.2094
0.0562	0.2717
0.0547	0.273
0.0538	0.3058
0.0537	0.3836
0.0492	0.3224
0.0494	0.3672
0.0486	0.6222
0.0486	0.8456
0.0486	0.8515
0.0495	0.9058
0.0498	0.8549
0.0506	0.6979
0.0504	0.644
0.05	0.8023
0.0502	1.083
0.0468	0.9394
0.1141	0.8375
0.1958	1.2051
0.4199	1.4891
0.5623	1.5457
0.6906	1.8362
0.9158	1.9069
1.0767	2.3824
1.1908	2.1454
1.622	2.3278
1.8569	3.5007
2.1857	4.1096
2.8599	3.4171
3.1779	3.5015
3.4275	3.5115
3.9021	3.5553
4.0031	3.5638
4.1774	3.6503
4.3528	3.9621
4.5872	4.3659
4.9302	4.4372
5.1609	4.5298
5.1854	4.4199
5.1871	4.5695
5.1875	4.2721
5.187	3.8622
5.1875	3.9319
5.1883	4.123
5.1891	4.033
5.1979	4.2172
5.2	4.2229
5.2	4.1644
5.2	4.1386
4.95	3.9444
4.95	3.9053
4.95	4.1993
4.7476	4.4164
4.7	4.4345
4.7002	4.6627
4.4919	4.5063
